component,complaint_count,crash_count,crash_rate_pct
"AIR BAGS,VEHICLE SPEED CONTROL",20,20.0,100.0
"AIR BAGS,FORWARD COLLISION AVOIDANCE",14,13.0,92.86
"AIR BAGS,SERVICE BRAKES",20,18.0,90.0
"STRUCTURE,SERVICE BRAKES",13,8.0,61.54
"POWER TRAIN,VEHICLE SPEED CONTROL,SERVICE BRAKES",10,6.0,60.0
"STEERING,AIR BAGS",10,6.0,60.0
"STEERING,VEHICLE SPEED CONTROL,SERVICE BRAKES",14,8.0,57.14
"AIR BAGS,STRUCTURE",36,19.0,52.78
"STEERING,SERVICE BRAKES",34,16.0,47.06
"VEHICLE SPEED CONTROL,UNKNOWN OR OTHER,SERVICE BRAKES",13,6.0,46.15
"VEHICLE SPEED CONTROL,SERVICE BRAKES",65,30.0,46.15
AIR BAGS,995,407.0,40.9
"BACK OVER PREVENTION,FORWARD COLLISION AVOIDANCE",19,7.0,36.84
"LANE DEPARTURE,BACK OVER PREVENTION",11,4.0,36.36
"STEERING,VEHICLE SPEED CONTROL",11,4.0,36.36
"AIR BAGS,SEAT BELTS",134,47.0,35.07
"VEHICLE SPEED CONTROL,UNKNOWN OR OTHER",31,10.0,32.26
"STEERING,VEHICLE SPEED CONTROL,UNKNOWN OR OTHER",10,3.0,30.0
"POWER TRAIN,ELECTRICAL SYSTEM,VEHICLE SPEED CONTROL",25,7.0,28.0
"ELECTRICAL SYSTEM,VEHICLE SPEED CONTROL",18,5.0,27.78
